Method,LOC,V,v(G),MI
"org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.AbstractHierarchicalConfigurationTestImpl.immutableConfigurationAt(String,boolean)",6,11,1,75.59908841
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.AbstractHierarchicalConfigurationTestImpl.immutableConfigurationsAt(String),6,8,1,76.56748572
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.checkAlternativeSyntax(),28,383,1,50.20965204
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.checkContent(Configuration),21,168,3,55.17200223
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.checkGetProperty(AbstractHierarchicalConfiguration<?>),20,278,1,54.37164174
"org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.checkKeys(String,String[])",27,199,5,52.00716824
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.createAlternativeExpressionEngine(),8,41,1,68.87279081
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.createConfigurationKey(),9,11,1,71.75784002
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.getRootNode(),9,15,1,70.81467883
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.setUp(),10,39,1,66.91087774
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testAddNodes(),13,171,1,59.93050872
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testAddNodesCopy(),29,340,3,49.97034523
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testAddNodesForNonExistingKey(),18,140,1,57.45581107
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testAddNodesWithAttributeKey(),11,46,1,65.50594229
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testAddProperty(),38,666,1,45.63415083
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testAddPropertyInvalidKey(),5,19,1,75.66434101
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testAddPropertyWithListHandling(),13,155,1,60.2292455
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testClear(),8,59,1,67.76599551
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testClearProperty(),17,245,1,56.29555622
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testClearTree(),19,220,1,55.5691376
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testClearTreeComplex(),54,655,8,41.41424282
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testClearTreeHierarchy(),14,105,1,60.71150727
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testClone(),7,31,1,70.98802463
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testCloneInterpolation(),17,153,1,57.72729043
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testCloneWithEventListeners(),14,64,1,62.2170054
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testContainsKey(),12,125,1,61.6416847
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testGetKeys(),12,100,2,62.18574696
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testGetKeysAttribute(),14,97,2,60.81799659
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testGetKeysAttributePrefix(),11,70,1,64.22919376
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testGetKeysOrder(),14,133,1,59.99266421
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testGetKeysString(),21,325,1,53.43441261
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testGetKeysWithKeyAsPrefix(),13,108,1,61.32791698
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testGetKeysWithKeyAsPrefixMultiple(),16,152,1,58.32156959
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testGetMaxIndex(),22,364,2,52.51456851
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testGetNodeModel(),19,155,1,56.63408066
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testGetProperty(),5,8,1,78.29474257
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testGetPropertyKeyWithBrackets(),10,48,1,66.27945979
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testInitCopyNull(),11,24,1,67.48433723
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testInterpolatedConfiguration(),12,31,1,65.88174199
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testInterpolation(),19,242,2,55.14480255
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testInterpolationBasic(),8,8,1,73.84207661
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testInterpolationConstants(),8,8,1,73.84207661
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testInterpolationEscaped(),8,8,1,73.84207661
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testInterpolationLoop(),8,8,1,73.84207661
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testInterpolationMultipleLevels(),8,8,1,73.84207661
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testInterpolationSubset(),8,8,1,73.84207661
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testInterpolationSubsetMultipleLayers(),14,101,1,60.82961671
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testInterpolationSysProperties(),8,8,1,73.84207661
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testInterpolationUnknownProperty(),8,8,1,73.84207661
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testInterpolator(),8,8,1,73.84207661
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testIsEmptyFalse(),5,11,1,77.32634526
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testIsEmptyNodesWithNoValues(),15,93,1,60.42694116
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testIsEmptyRootOnly(),11,25,1,67.36020017
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testNodeKeyCacheHit(),12,74,1,63.2358911
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testNodeKeyCachePopulated(),21,235,1,54.42040458
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testNodeKeyCacheUsage(),15,97,1,60.29888284
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testNodeKeyEmptyCache(),22,123,1,55.94839392
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testNodeKeyRootNode(),11,46,1,65.50594229
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testResolveNodeKey(),17,148,2,57.69382456
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testResolveNodeKeyAttribute(),13,64,1,62.91908092
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testSetExpressionEngine(),14,66,1,62.12343076
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testSetProperty(),25,578,1,50.03182896
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.testSize(),8,19,1,71.21167505
org.apache.commons.configuration2.TestAbstractHierarchicalConfiguration.totalFieldCount(),14,64,2,62.08250247
org.apache.commons.configuration2.TestBaseConfiguration.setUp(),7,38,1,70.36889331
org.apache.commons.configuration2.TestBaseConfiguration.testAddProperty(),35,511,2,47.08435061
org.apache.commons.configuration2.TestBaseConfiguration.testClone(),19,204,3,55.52974536
org.apache.commons.configuration2.TestBaseConfiguration.testCloneInterpolation(),16,140,1,58.57165035
org.apache.commons.configuration2.TestBaseConfiguration.testCloneListProperty(),14,102,1,60.79965651
org.apache.commons.configuration2.TestBaseConfiguration.testCloneModify(),18,174,1,56.79467249
org.apache.commons.configuration2.TestBaseConfiguration.testCommaSeparatedString(),9,87,1,65.46914598
org.apache.commons.configuration2.TestBaseConfiguration.testCommaSeparatedStringEscaped(),7,44,1,69.92308157
org.apache.commons.configuration2.TestBaseConfiguration.testGetBigDecimal(),10,122,1,63.44281407
org.apache.commons.configuration2.TestBaseConfiguration.testGetBigDecimalIncompatibleType(),6,30,1,72.54811124
org.apache.commons.configuration2.TestBaseConfiguration.testGetBigDecimalUnknown(),5,15,1,76.38318408
org.apache.commons.configuration2.TestBaseConfiguration.testGetBigInteger(),10,122,1,63.44281407
org.apache.commons.configuration2.TestBaseConfiguration.testGetBigIntegerIncompatibleType(),6,30,1,72.54811124
org.apache.commons.configuration2.TestBaseConfiguration.testGetBigIntegerUnknown(),5,15,1,76.38318408
org.apache.commons.configuration2.TestBaseConfiguration.testGetBinaryValue(),13,239,1,58.91240347
org.apache.commons.configuration2.TestBaseConfiguration.testGetBoolean(),10,166,1,62.50630701
org.apache.commons.configuration2.TestBaseConfiguration.testGetBooleanIncompatibleType(),6,30,1,72.54811124
org.apache.commons.configuration2.TestBaseConfiguration.testGetBooleanUnknown(),5,15,1,76.38318408
org.apache.commons.configuration2.TestBaseConfiguration.testGetByte(),11,173,1,61.47776625
org.apache.commons.configuration2.TestBaseConfiguration.testGetByteIncompatibleType(),6,30,1,72.54811124
org.apache.commons.configuration2.TestBaseConfiguration.testGetByteUnknown(),5,15,1,76.38318408
org.apache.commons.configuration2.TestBaseConfiguration.testGetDouble(),11,189,1,61.20877901
org.apache.commons.configuration2.TestBaseConfiguration.testGetDoubleIncompatibleType(),6,30,1,72.54811124
org.apache.commons.configuration2.TestBaseConfiguration.testGetDoubleUnknown(),5,15,1,76.38318408
org.apache.commons.configuration2.TestBaseConfiguration.testGetFloat(),11,189,1,61.20877901
org.apache.commons.configuration2.TestBaseConfiguration.testGetFloatIncompatibleType(),6,30,1,72.54811124
org.apache.commons.configuration2.TestBaseConfiguration.testGetFloatUnknown(),5,15,1,76.38318408
org.apache.commons.configuration2.TestBaseConfiguration.testGetHexadecimalValue(),13,239,1,58.91240347
org.apache.commons.configuration2.TestBaseConfiguration.testGetInterpolatedList(),11,102,1,63.08434968
org.apache.commons.configuration2.TestBaseConfiguration.testGetInterpolatedPrimitives(),26,765,1,48.80788406
org.apache.commons.configuration2.TestBaseConfiguration.testGetInterpolator(),8,8,1,73.84207661
org.apache.commons.configuration2.TestBaseConfiguration.testGetList(),11,131,1,62.32343304
org.apache.commons.configuration2.TestBaseConfiguration.testGetLong(),11,173,1,61.47776625
org.apache.commons.configuration2.TestBaseConfiguration.testGetLongIncompatibleTypes(),6,30,1,72.54811124
org.apache.commons.configuration2.TestBaseConfiguration.testGetLongUnknown(),5,15,1,76.38318408
org.apache.commons.configuration2.TestBaseConfiguration.testGetProperty(),10,88,1,64.4362398
org.apache.commons.configuration2.TestBaseConfiguration.testGetShort(),11,173,1,61.47776625
org.apache.commons.configuration2.TestBaseConfiguration.testGetShortIncompatibleType(),6,30,1,72.54811124
org.apache.commons.configuration2.TestBaseConfiguration.testGetShortUnknown(),5,15,1,76.38318408
org.apache.commons.configuration2.TestBaseConfiguration.testGetString(),10,112,1,63.7028815
org.apache.commons.configuration2.TestBaseConfiguration.testGetStringForListValue(),10,53,1,65.97813073
org.apache.commons.configuration2.TestBaseConfiguration.testGetStringUnknown(),5,15,1,76.38318408
org.apache.commons.configuration2.TestBaseConfiguration.testInstallInterpolator(),27,293,1,51.36873989
org.apache.commons.configuration2.TestBaseConfiguration.testInterpolatedConfiguration(),9,8,1,72.72623733
org.apache.commons.configuration2.TestBaseConfiguration.testInterpolation(),5,8,1,78.29474257
org.apache.commons.configuration2.TestBaseConfiguration.testInterpolationConstants(),8,8,1,73.84207661
org.apache.commons.configuration2.TestBaseConfiguration.testInterpolationEnvironment(),8,8,1,73.84207661
org.apache.commons.configuration2.TestBaseConfiguration.testInterpolationEscaped(),9,8,1,72.72623733
org.apache.commons.configuration2.TestBaseConfiguration.testInterpolationLoop(),5,8,1,78.29474257
org.apache.commons.configuration2.TestBaseConfiguration.testInterpolationSubset(),8,8,1,73.84207661
org.apache.commons.configuration2.TestBaseConfiguration.testInterpolationSystemProperties(),8,8,1,73.84207661
org.apache.commons.configuration2.TestBaseConfiguration.testInterpolationUnknownProperty(),8,8,1,73.84207661
org.apache.commons.configuration2.TestBaseConfiguration.testMultipleInterpolation(),5,8,1,78.29474257
org.apache.commons.configuration2.TestBaseConfiguration.testNoInterpolator(),11,51,1,65.19216567
org.apache.commons.configuration2.TestBaseConfiguration.testNumberConversions(),22,318,1,53.05990939
org.apache.commons.configuration2.TestBaseConfiguration.testPropertyAccess(),20,180,1,55.6934278
org.apache.commons.configuration2.TestBaseConfiguration.testSetInterpolator(),13,48,1,63.7939036
org.apache.commons.configuration2.TestBaseConfiguration.testSize(),13,110,2,61.1376155
org.apache.commons.configuration2.TestBaseConfiguration.testSubset(),24,218,1,53.38371557
org.apache.commons.configuration2.TestBaseConfiguration.testThrowExceptionOnMissing(),5,15,1,76.38318408
"org.apache.commons.configuration2.TestBaseConfigurationXMLReader.TestContentHandler.characters(char[],int,int)",6,26,1,72.9832717
"org.apache.commons.configuration2.TestBaseConfigurationXMLReader.check(JXPathContext,String,String)",5,19,1,75.66434101
"org.apache.commons.configuration2.TestBaseConfigurationXMLReader.check(JXPathContext,String,String[])",16,81,2,60.10112696
"org.apache.commons.configuration2.TestBaseConfigurationXMLReader.checkDocument(BaseConfigurationXMLReader,String)",20,351,1,53.66260164
org.apache.commons.configuration2.TestBaseConfigurationXMLReader.setUp(),17,262,1,56.09155112
org.apache.commons.configuration2.TestBaseConfigurationXMLReader.testParse(),5,15,1,76.38318408
org.apache.commons.configuration2.TestBaseConfigurationXMLReader.testParseIOException(),6,24,1,73.22667642
org.apache.commons.configuration2.TestBaseConfigurationXMLReader.testParseSAXException(),6,31,1,72.44839949
org.apache.commons.configuration2.TestBaseConfigurationXMLReader.testSetRootName(),7,34,1,70.70712331
"org.apache.commons.configuration2.TestBaseHierarchicalConfigurationSynchronization.SubNodeAccessThread.SubNodeAccessThread(HierarchicalConfiguration<ImmutableNode>,CountDownLatch,String,String)",17,28,1,62.89150899
org.apache.commons.configuration2.TestBaseHierarchicalConfigurationSynchronization.SubNodeAccessThread.run(),15,53,2,62.00237941
org.apache.commons.configuration2.TestBaseHierarchicalConfigurationSynchronization.SubNodeAccessThread.verify(),15,48,2,62.30370847
org.apache.commons.configuration2.TestBaseHierarchicalConfigurationSynchronization.isDetached(HierarchicalConfiguration<ImmutableNode>),13,50,1,63.66976654
org.apache.commons.configuration2.TestBaseHierarchicalConfigurationSynchronization.setUp(),10,64,1,65.40463711
org.apache.commons.configuration2.TestBaseHierarchicalConfigurationSynchronization.testAddNodesSynchronized(),10,53,1,65.97813073
org.apache.commons.configuration2.TestBaseHierarchicalConfigurationSynchronization.testChildConfigurationsAtSynchronized(),11,48,1,65.37652124
org.apache.commons.configuration2.TestBaseHierarchicalConfigurationSynchronization.testClearTreeSynchronized(),9,28,1,68.91666573
org.apache.commons.configuration2.TestBaseHierarchicalConfigurationSynchronization.testCloneCopySubnodeData(),21,114,1,56.62017812
org.apache.commons.configuration2.TestBaseHierarchicalConfigurationSynchronization.testCloneSynchronized(),12,50,1,64.42806587
org.apache.commons.configuration2.TestBaseHierarchicalConfigurationSynchronization.testConfigurationAtSynchronized(),13,66,1,62.82550629
org.apache.commons.configuration2.TestBaseHierarchicalConfigurationSynchronization.testConfigurationsAtSynchronized(),12,48,1,64.55220293
org.apache.commons.configuration2.TestBaseHierarchicalConfigurationSynchronization.testCopyConstructorSynchronized(),11,46,1,65.50594229
org.apache.commons.configuration2.TestBaseHierarchicalConfigurationSynchronization.testGetMaxIndexSynchronized(),9,48,1,67.27761204
org.apache.commons.configuration2.TestBaseHierarchicalConfigurationSynchronization.testGetRootElementNameSynchronized(),10,38,1,66.98986752
org.apache.commons.configuration2.TestBaseHierarchicalConfigurationSynchronization.testReadOnlyAccessToSubConfigurations(),38,292,4,47.7380026
org.apache.commons.configuration2.TestBaseHierarchicalConfigurationSynchronization.testSubnodeUpdate(),16,108,1,59.3608072
org.apache.commons.configuration2.TestBaseHierarchicalConfigurationSynchronization.testSubnodeUpdateBySubnode(),17,102,1,58.96028374
org.apache.commons.configuration2.TestBaseHierarchicalConfigurationSynchronization.testSubsetSynchronized(),10,51,1,66.09510421
org.apache.commons.configuration2.TestBaseNullConfiguration.setUp(),7,38,1,70.36889331
org.apache.commons.configuration2.TestBaseNullConfiguration.testCommaSeparatedString(),9,87,1,65.46914598
org.apache.commons.configuration2.TestBaseNullConfiguration.testCommaSeparatedStringEscaped(),8,57,1,67.87086575
org.apache.commons.configuration2.TestBaseNullConfiguration.testGetBigDecimal(),10,122,1,63.44281407
org.apache.commons.configuration2.TestBaseNullConfiguration.testGetBigDecimalIncompatibleType(),6,30,1,72.54811124
org.apache.commons.configuration2.TestBaseNullConfiguration.testGetBigDecimalUnknown(),5,19,1,75.66434101
org.apache.commons.configuration2.TestBaseNullConfiguration.testGetBigInteger(),10,122,1,63.44281407
org.apache.commons.configuration2.TestBaseNullConfiguration.testGetBigIntegerIncompatibleType(),6,30,1,72.54811124
org.apache.commons.configuration2.TestBaseNullConfiguration.testGetBigIntegerUnknown(),5,19,1,75.66434101
org.apache.commons.configuration2.TestBaseNullConfiguration.testGetBoolean(),10,166,1,62.50630701
org.apache.commons.configuration2.TestBaseNullConfiguration.testGetBooleanIncompatibleType(),6,30,1,72.54811124
org.apache.commons.configuration2.TestBaseNullConfiguration.testGetBooleanUnknown(),5,15,1,76.38318408
org.apache.commons.configuration2.TestBaseNullConfiguration.testGetByte(),11,173,1,61.47776625
org.apache.commons.configuration2.TestBaseNullConfiguration.testGetByteIncompatibleType(),6,30,1,72.54811124
org.apache.commons.configuration2.TestBaseNullConfiguration.testGetByteUnknown(),5,15,1,76.38318408
org.apache.commons.configuration2.TestBaseNullConfiguration.testGetDouble(),11,189,1,61.20877901
org.apache.commons.configuration2.TestBaseNullConfiguration.testGetDoubleIncompatibleType(),6,30,1,72.54811124
org.apache.commons.configuration2.TestBaseNullConfiguration.testGetDoubleUnknown(),5,15,1,76.38318408
org.apache.commons.configuration2.TestBaseNullConfiguration.testGetFloat(),11,189,1,61.20877901
org.apache.commons.configuration2.TestBaseNullConfiguration.testGetFloatIncompatibleType(),6,30,1,72.54811124
org.apache.commons.configuration2.TestBaseNullConfiguration.testGetFloatUnknown(),5,15,1,76.38318408
org.apache.commons.configuration2.TestBaseNullConfiguration.testGetList(),11,131,1,62.32343304
org.apache.commons.configuration2.TestBaseNullConfiguration.testGetListAsScalar(),7,53,1,69.35715651
org.apache.commons.configuration2.TestBaseNullConfiguration.testGetLong(),11,173,1,61.47776625
org.apache.commons.configuration2.TestBaseNullConfiguration.testGetLongIncompatibleTypes(),6,30,1,72.54811124
org.apache.commons.configuration2.TestBaseNullConfiguration.testGetLongUnknown(),5,15,1,76.38318408
org.apache.commons.configuration2.TestBaseNullConfiguration.testGetProperty(),10,88,1,64.4362398
org.apache.commons.configuration2.TestBaseNullConfiguration.testGetShort(),11,173,1,61.47776625
org.apache.commons.configuration2.TestBaseNullConfiguration.testGetShortIncompatibleType(),6,30,1,72.54811124
org.apache.commons.configuration2.TestBaseNullConfiguration.testGetShortUnknown(),5,15,1,76.38318408
org.apache.commons.configuration2.TestBaseNullConfiguration.testGetString(),10,122,1,63.44281407
org.apache.commons.configuration2.TestBaseNullConfiguration.testGetStringUnknown(),5,19,1,75.66434101
org.apache.commons.configuration2.TestBaseNullConfiguration.testInterpolation(),24,197,1,53.691736
org.apache.commons.configuration2.TestBaseNullConfiguration.testInterpolationLoop(),7,51,1,69.47413
org.apache.commons.configuration2.TestBaseNullConfiguration.testMultipleInterpolation(),15,102,1,60.14603983
org.apache.commons.configuration2.TestBaseNullConfiguration.testPropertyAccess(),20,180,1,55.6934278
org.apache.commons.configuration2.TestBaseNullConfiguration.testSubset(),24,218,1,53.38371557
org.apache.commons.configuration2.TestBaseNullConfiguration.testThrowExceptionOnMissing(),5,15,1,76.38318408
org.apache.commons.configuration2.TestCatalogResolver.load(String),11,24,1,67.48433723
org.apache.commons.configuration2.TestCatalogResolver.setUp(),9,41,1,67.75695152
org.apache.commons.configuration2.TestCatalogResolver.tearDown(),6,18,1,74.1014991
org.apache.commons.configuration2.TestCatalogResolver.testDebug(),7,15,1,73.19555236
org.apache.commons.configuration2.TestCatalogResolver.testLogger(),8,68,1,67.33427307
org.apache.commons.configuration2.TestCatalogResolver.testPublic(),5,11,1,77.32634526
org.apache.commons.configuration2.TestCatalogResolver.testRewriteSystem(),5,11,1,77.32634526
org.apache.commons.configuration2.TestCatalogResolver.testSchemaResolver(),10,11,1,70.75968776
"org.apache.commons.configuration2.TestCombinedConfiguration.CombinedListener.checkEvent(int,int)",13,39,1,64.42532155
org.apache.commons.configuration2.TestCombinedConfiguration.CombinedListener.onEvent(ConfigurationEvent),12,41,2,64.89703949
"org.apache.commons.configuration2.TestCombinedConfiguration.ReadThread.ReadThread(Configuration,CountDownLatch,AtomicInteger,int)",16,33,1,62.9662125
org.apache.commons.configuration2.TestCombinedConfiguration.ReadThread.readConfiguration(),27,157,6,52.59354654
org.apache.commons.configuration2.TestCombinedConfiguration.ReadThread.run(),19,68,3,58.87055466
"org.apache.commons.configuration2.TestCombinedConfiguration.WriteThread.WriteThread(CombinedConfiguration,CountDownLatch,AtomicInteger,int)",16,38,1,62.53720156
org.apache.commons.configuration2.TestCombinedConfiguration.WriteThread.run(),16,68,3,60.49860973
org.apache.commons.configuration2.TestCombinedConfiguration.WriteThread.updateConfigurations(),11,85,1,63.63877781
org.apache.commons.configuration2.TestCombinedConfiguration.checkAddConfig(AbstractConfiguration),13,62,1,63.01562667
org.apache.commons.configuration2.TestCombinedConfiguration.checkCombinedRootNotConstructed(),9,33,1,68.41703072
org.apache.commons.configuration2.TestCombinedConfiguration.checkConfigurationsAt(boolean),13,84,1,62.09214799
org.apache.commons.configuration2.TestCombinedConfiguration.checkRemoveConfig(AbstractConfiguration),15,93,1,60.42694116
org.apache.commons.configuration2.TestCombinedConfiguration.setUp(),7,33,1,70.79790425
org.apache.commons.configuration2.TestCombinedConfiguration.setUpSourceTest(),12,76,1,63.15479468
org.apache.commons.configuration2.TestCombinedConfiguration.setUpSubConfigTest(),15,58,1,61.86273865
org.apache.commons.configuration2.TestCombinedConfiguration.setUpSynchronizerTest(),13,22,1,66.16631559
org.apache.commons.configuration2.TestCombinedConfiguration.setUpTestConfiguration(),13,43,1,64.12840924
org.apache.commons.configuration2.TestCombinedConfiguration.testAccessPropertyEmpty(),10,60,1,65.6008946
org.apache.commons.configuration2.TestCombinedConfiguration.testAccessPropertyMulti(),15,195,1,58.17543219
org.apache.commons.configuration2.TestCombinedConfiguration.testAddConfiguration(),17,151,1,57.76730332
org.apache.commons.configuration2.TestCombinedConfiguration.testAddConfigurationAt(),11,66,1,64.40812393
org.apache.commons.configuration2.TestCombinedConfiguration.testAddConfigurationComplexAt(),13,66,1,62.82550629
org.apache.commons.configuration2.TestCombinedConfiguration.testAddConfigurationSynchronized(),11,38,1,66.08692898
org.apache.commons.configuration2.TestCombinedConfiguration.testAddConfigurationWithName(),20,230,1,54.94802618
org.apache.commons.configuration2.TestCombinedConfiguration.testAddConfigurationWithNameTwice(),11,38,1,66.08692898
org.apache.commons.configuration2.TestCombinedConfiguration.testAddNullConfiguration(),9,15,1,70.81467883
org.apache.commons.configuration2.TestCombinedConfiguration.testClear(),17,135,1,58.1079035
org.apache.commons.configuration2.TestCombinedConfiguration.testClearRemoveChildListener(),17,59,2,60.49049656
org.apache.commons.configuration2.TestCombinedConfiguration.testClone(),35,570,2,46.75207738
org.apache.commons.configuration2.TestCombinedConfiguration.testCloneModify(),14,88,1,61.24860808
org.apache.commons.configuration2.TestCombinedConfiguration.testCloneSynchronized(),16,89,1,59.94921262
org.apache.commons.configuration2.TestCombinedConfiguration.testCombinedCopyToXML(),32,386,1,48.92089126
org.apache.commons.configuration2.TestCombinedConfiguration.testConcurrentAccess(),56,575,5,41.86934409
org.apache.commons.configuration2.TestCombinedConfiguration.testConfigurationsAt(),8,8,1,73.84207661
org.apache.commons.configuration2.TestCombinedConfiguration.testConfigurationsAtWithUpdates(),8,8,1,73.84207661
org.apache.commons.configuration2.TestCombinedConfiguration.testConversionExpressionEngine(),27,274,1,51.5726179
org.apache.commons.configuration2.TestCombinedConfiguration.testEscapeListDelimiters(),12,78,1,63.0758049
org.apache.commons.configuration2.TestCombinedConfiguration.testGetConfigurationByIdxSynchronized(),12,48,1,64.55220293
org.apache.commons.configuration2.TestCombinedConfiguration.testGetConfigurationByNameSynchronized(),12,48,1,64.55220293
org.apache.commons.configuration2.TestCombinedConfiguration.testGetConfigurationNameList(),14,182,1,59.03885175
org.apache.commons.configuration2.TestCombinedConfiguration.testGetConfigurationNameListSynchronized(),13,48,1,63.7939036
org.apache.commons.configuration2.TestCombinedConfiguration.testGetConfigurationNamesSynchronized(),12,48,1,64.55220293
org.apache.commons.configuration2.TestCombinedConfiguration.testGetConfigurations(),13,164,1,60.0576111
org.apache.commons.configuration2.TestCombinedConfiguration.testGetConfigurationsSynchronized(),12,48,1,64.55220293
org.apache.commons.configuration2.TestCombinedConfiguration.testGetConversionExpressionEngineSynchronized(),13,43,1,64.12840924
org.apache.commons.configuration2.TestCombinedConfiguration.testGetNodeCombinerSynchronized(),11,43,1,65.71102689
org.apache.commons.configuration2.TestCombinedConfiguration.testGetNumberOfConfigurationsSynchronized(),13,48,1,63.7939036
org.apache.commons.configuration2.TestCombinedConfiguration.testGetSourceCombined(),12,53,1,64.25087387
org.apache.commons.configuration2.TestCombinedConfiguration.testGetSourceHierarchical(),11,36,1,66.25134392
org.apache.commons.configuration2.TestCombinedConfiguration.testGetSourceMulti(),13,72,1,62.56091029
org.apache.commons.configuration2.TestCombinedConfiguration.testGetSourceMultiSources(),13,82,1,62.16542709
org.apache.commons.configuration2.TestCombinedConfiguration.testGetSourceNonHierarchical(),11,36,1,66.25134392
org.apache.commons.configuration2.TestCombinedConfiguration.testGetSourceNull(),9,15,1,70.81467883
org.apache.commons.configuration2.TestCombinedConfiguration.testGetSourceSynchronized(),11,51,1,65.19216567
org.apache.commons.configuration2.TestCombinedConfiguration.testGetSourceUnknown(),11,24,1,67.48433723
org.apache.commons.configuration2.TestCombinedConfiguration.testGetSourceWithCombinedChildConfiguration(),11,44,1,65.64111724
org.apache.commons.configuration2.TestCombinedConfiguration.testGetSourcesMultiSources(),17,176,1,57.30141933
org.apache.commons.configuration2.TestCombinedConfiguration.testGetSourcesUnknownKey(),10,28,1,67.91851347
org.apache.commons.configuration2.TestCombinedConfiguration.testInit(),14,91,1,61.14666773
org.apache.commons.configuration2.TestCombinedConfiguration.testInvalidateEventBeforeAndAfterChange(),16,124,1,58.94070091
org.apache.commons.configuration2.TestCombinedConfiguration.testInvalidateSynchronized(),10,28,1,67.91851347
org.apache.commons.configuration2.TestCombinedConfiguration.testLockHandlingWithExceptionWhenConstructingRootNode(),4,150,2,71.36065954
org.apache.commons.configuration2.TestCombinedConfiguration.testRemoveConfiguration(),12,51,1,64.36784736
org.apache.commons.configuration2.TestCombinedConfiguration.testRemoveConfigurationAt(),11,48,1,65.37652124
org.apache.commons.configuration2.TestCombinedConfiguration.testRemoveConfigurationByName(),12,51,1,64.36784736
org.apache.commons.configuration2.TestCombinedConfiguration.testRemoveConfigurationByUnknownName(),10,36,1,67.15428246
org.apache.commons.configuration2.TestCombinedConfiguration.testRemoveNamedConfiguration(),11,38,1,66.08692898
org.apache.commons.configuration2.TestCombinedConfiguration.testRemoveNamedConfigurationAt(),11,53,1,65.07519218
org.apache.commons.configuration2.TestCombinedConfiguration.testRemoveNonContainedConfiguration(),10,36,1,67.15428246
org.apache.commons.configuration2.TestCombinedConfiguration.testSetConversionExpressionEngineSynchronized(),13,43,1,64.12840924
