Metric#5,,
,,
Class,LOC,V
org.apache.commons.configuration2.reloading.FileHandlerReloadingDetector,232,997
org.apache.commons.configuration2.reloading.ManagedReloadingDetector,47,100
org.apache.commons.configuration2.reloading.PeriodicReloadingTrigger,194,692
org.apache.commons.configuration2.reloading.RandomReloadingDetector,19,44
org.apache.commons.configuration2.reloading.ReloadingController,156,456
org.apache.commons.configuration2.reloading.ReloadingEvent,57,131
org.apache.commons.configuration2.reloading.TestCombinedReloadingController,167,"1,093"
org.apache.commons.configuration2.reloading.TestFileHandlerReloadingDetector,168,"2,136"
org.apache.commons.configuration2.reloading.TestFileHandlerReloadingDetector.FileHandlerReloadingDetectorTestImpl,38,104
org.apache.commons.configuration2.reloading.TestManagedReloadingDetector,45,144
org.apache.commons.configuration2.reloading.TestPeriodicReloadingTrigger,179,"1,350"
org.apache.commons.configuration2.reloading.TestReloadingController,166,"1,330"
org.apache.commons.configuration2.reloading.TestVFSFileHandlerReloadingDetector,133,"1,029"
org.apache.commons.configuration2.reloading.VFSFileHandlerReloadingDetector,122,629
org.apache.commons.configuration2.resolver.CatalogResolver,215,"3,514"
org.apache.commons.configuration2.resolver.CatalogResolver.Catalog,146,"1,373"
org.apache.commons.configuration2.resolver.CatalogResolver.CatalogManager,101,384
org.apache.commons.configuration2.resolver.DefaultEntityResolver,96,337
org.apache.commons.configuration2.spring.ConfigurationPropertiesFactoryBean,147,716
org.apache.commons.configuration2.spring.ConfigurationPropertySource,30,178
org.apache.commons.configuration2.spring.TestConfigurationPropertiesFactoryBean,121,"1,100"
org.apache.commons.configuration2.spring.TestConfigurationPropertySource,25,239
org.apache.commons.configuration2.spring.TestConfigurationPropertySource.Config,18,70
org.apache.commons.configuration2.sync.LockMode,31,2
org.apache.commons.configuration2.sync.NoOpSynchronizer,41,22
org.apache.commons.configuration2.sync.ReadWriteSynchronizer,74,177
org.apache.commons.configuration2.sync.TestReadWriteSynchronizer,101,"2,030"
org.apache.commons.configuration2.sync.TestReadWriteSynchronizer.Account,26,49
org.apache.commons.configuration2.sync.TestReadWriteSynchronizer.ReaderThread,54,260
org.apache.commons.configuration2.sync.TestReadWriteSynchronizer.UpdateThread,65,417
org.apache.commons.configuration2.test.HsqlDB,70,743
org.apache.commons.configuration2.tree.AbstractCombinerTest,59,356
org.apache.commons.configuration2.tree.AbstractImmutableNodeHandler,122,769
org.apache.commons.configuration2.tree.AbstractImmutableNodeHandlerTest,362,"3,866"
org.apache.commons.configuration2.tree.AbstractImmutableNodeHandlerTest.DummyNodeMatcher,10,34
org.apache.commons.configuration2.tree.ConfigurationNodeVisitorAdapter,40,45
org.apache.commons.configuration2.tree.DefaultConfigurationKey,486,"6,190"
org.apache.commons.configuration2.tree.DefaultConfigurationKey.KeyIterator,375,"2,391"
org.apache.commons.configuration2.tree.DefaultExpressionEngine,458,"2,249"
org.apache.commons.configuration2.tree.DefaultExpressionEngineSymbols,193,"1,593"
org.apache.commons.configuration2.tree.DefaultExpressionEngineSymbols.Builder,133,332
org.apache.commons.configuration2.tree.ImmutableNode,311,"2,936"
org.apache.commons.configuration2.tree.ImmutableNode.Builder,285,"1,072"
org.apache.commons.configuration2.tree.InMemoryNodeModel,"1,293","10,282"
org.apache.commons.configuration2.tree.MergeCombiner,140,"1,031"
org.apache.commons.configuration2.tree.ModelTransaction,583,"6,368"
org.apache.commons.configuration2.tree.ModelTransaction.AddAttributeOperation,27,81
org.apache.commons.configuration2.tree.ModelTransaction.AddAttributesOperation,24,55
org.apache.commons.configuration2.tree.ModelTransaction.ChangeNodeNameOperation,24,55
org.apache.commons.configuration2.tree.ModelTransaction.ChangeNodeValueOperation,24,55
org.apache.commons.configuration2.tree.ModelTransaction.ChildrenUpdateOperation,133,678
org.apache.commons.configuration2.tree.ModelTransaction.Operation,17,10
org.apache.commons.configuration2.tree.ModelTransaction.Operations,131,677
org.apache.commons.configuration2.tree.ModelTransaction.RemoveAttributeOperation,24,55
org.apache.commons.configuration2.tree.NodeAddData,120,231
org.apache.commons.configuration2.tree.NodeCombiner,110,185
org.apache.commons.configuration2.tree.NodeHandlerDecorator,104,590
org.apache.commons.configuration2.tree.NodeNameMatchers,45,89
org.apache.commons.configuration2.tree.NodeSelector,161,775
org.apache.commons.configuration2.tree.NodeStructureHelper,544,"4,802"
org.apache.commons.configuration2.tree.NodeTracker,391,"2,491"
org.apache.commons.configuration2.tree.NodeTracker.TrackedNodeData,118,413
org.apache.commons.configuration2.tree.NodeTreeWalker,157,676
org.apache.commons.configuration2.tree.NodeUpdateData,126,341
org.apache.commons.configuration2.tree.OverrideCombiner,121,686
org.apache.commons.configuration2.tree.QueryResult,165,618
org.apache.commons.configuration2.tree.ReferenceTracker,154,640
org.apache.commons.configuration2.tree.TestDefaultConfigurationKey,548,"8,107"
org.apache.commons.configuration2.tree.TestDefaultExpressionEngine,729,"9,558"
org.apache.commons.configuration2.tree.TestDefaultExpressionEngineSymbols,142,"1,258"
org.apache.commons.configuration2.tree.TestImmutableNode,598,"6,910"
org.apache.commons.configuration2.tree.TestInMemoryNodeModel,956,"14,119"
org.apache.commons.configuration2.tree.TestInMemoryNodeModelReferences,238,"2,523"
org.apache.commons.configuration2.tree.TestInMemoryNodeModelTrackedNodes,886,"11,057"
org.apache.commons.configuration2.tree.TestMergeCombiner,149,"1,745"
org.apache.commons.configuration2.tree.TestNodeAddData,71,465
org.apache.commons.configuration2.tree.TestNodeHandlerDecorator,26,46
org.apache.commons.configuration2.tree.TestNodeNameMatchers,105,691
org.apache.commons.configuration2.tree.TestNodeSelector,200,"2,059"
org.apache.commons.configuration2.tree.TestNodeTreeWalker,209,"2,041"
org.apache.commons.configuration2.tree.TestNodeTreeWalker.TestVisitor,59,229
org.apache.commons.configuration2.tree.TestNodeUpdateData,118,"1,066"
org.apache.commons.configuration2.tree.TestOverrideCombiner,171,"2,054"
org.apache.commons.configuration2.tree.TestQueryResult,136,"1,026"
org.apache.commons.configuration2.tree.TestTrackedNodeHandler,48,312
org.apache.commons.configuration2.tree.TestTrackedNodeModel,218,"1,758"
org.apache.commons.configuration2.tree.TestTreeData,17,36
org.apache.commons.configuration2.tree.TestUnionCombiner,103,"1,027"
org.apache.commons.configuration2.tree.TrackedNodeHandler,70,92
org.apache.commons.configuration2.tree.TrackedNodeModel,231,837
org.apache.commons.configuration2.tree.TreeData,203,835
org.apache.commons.configuration2.tree.TreeUtils,53,547
org.apache.commons.configuration2.tree.UnionCombiner,181,537
org.apache.commons.configuration2.tree.xpath.AbstractXPathTest,119,993
org.apache.commons.configuration2.tree.xpath.ConfigurationAttributePointer,184,502
org.apache.commons.configuration2.tree.xpath.ConfigurationNodeIteratorAttribute,100,586
org.apache.commons.configuration2.tree.xpath.ConfigurationNodeIteratorBase,183,849
org.apache.commons.configuration2.tree.xpath.ConfigurationNodeIteratorChildren,168,"1,105"
org.apache.commons.configuration2.tree.xpath.ConfigurationNodePointer,250,966
org.apache.commons.configuration2.tree.xpath.ConfigurationNodePointerFactory,98,357
org.apache.commons.configuration2.tree.xpath.ConfigurationNodePointerFactory.NodeWrapper,42,63
org.apache.commons.configuration2.tree.xpath.TestConfigurationAttributePointer,147,"1,024"
org.apache.commons.configuration2.tree.xpath.TestConfigurationIteratorAttributes,110,"1,014"
org.apache.commons.configuration2.tree.xpath.TestConfigurationNodeIteratorChildren,270,"2,805"
org.apache.commons.configuration2.tree.xpath.TestConfigurationNodePointer,127,"1,237"
org.apache.commons.configuration2.tree.xpath.TestConfigurationNodePointerFactory,130,"1,453"
org.apache.commons.configuration2.tree.xpath.TestXPathContextFactory,32,192
org.apache.commons.configuration2.tree.xpath.TestXPathExpressionEngine,492,"5,022"
org.apache.commons.configuration2.tree.xpath.TestXPathExpressionEngineInConfig,104,"1,004"
org.apache.commons.configuration2.tree.xpath.XPathContextFactory,28,48
org.apache.commons.configuration2.tree.xpath.XPathExpressionEngine,492,"3,652"
org.apache.commons.configuration2.web.AppletConfiguration,39,221
org.apache.commons.configuration2.web.BaseWebConfiguration,86,245
org.apache.commons.configuration2.web.ServletConfiguration,45,127
org.apache.commons.configuration2.web.ServletContextConfiguration,46,131
org.apache.commons.configuration2.web.ServletFilterConfiguration,35,96
org.apache.commons.configuration2.web.ServletRequestConfiguration,60,337
org.apache.commons.configuration2.web.TestAppletConfiguration,116,591
org.apache.commons.configuration2.web.TestServletConfiguration,48,267
org.apache.commons.configuration2.web.TestServletContextConfiguration,76,400
org.apache.commons.configuration2.web.TestServletFilterConfiguration,37,378
org.apache.commons.configuration2.web.TestServletFilterConfiguration.MockFilterConfig,28,117
org.apache.commons.configuration2.web.TestServletRequestConfiguration,94,773
