Metric#5,,
,,
Class,LOC,V
org.apache.commons.configuration2.TestConfigurationSet,69,626
org.apache.commons.configuration2.TestConfigurationUtils,502,"5,426"
org.apache.commons.configuration2.TestConfigurationUtils.CloneableSynchronizer,33,77
org.apache.commons.configuration2.TestConfigurationUtils.NonCloneableSynchronizer,6,8
org.apache.commons.configuration2.TestDataConfiguration,"2,072","41,055"
org.apache.commons.configuration2.TestDatabaseConfiguration,453,"5,727"
org.apache.commons.configuration2.TestDatabaseConfiguration.PotentialErrorDatabaseConfiguration,31,135
org.apache.commons.configuration2.TestDynamicCombinedConfiguration,335,"7,950"
org.apache.commons.configuration2.TestDynamicCombinedConfiguration.ReaderThread,56,375
org.apache.commons.configuration2.TestDynamicCombinedConfiguration.ReloadThread,53,574
org.apache.commons.configuration2.TestDynamicCombinedConfiguration.ThreadLookup,25,180
org.apache.commons.configuration2.TestEnvironmentConfiguration,68,374
org.apache.commons.configuration2.TestEqualBehaviour,186,"2,993"
org.apache.commons.configuration2.TestEqualsProperty,19,116
org.apache.commons.configuration2.TestHierarchicalConfiguration,576,"6,545"
org.apache.commons.configuration2.TestHierarchicalConfigurationXMLReader,39,474
org.apache.commons.configuration2.TestHierarchicalXMLConfiguration,237,"4,294"
org.apache.commons.configuration2.TestINIConfiguration,"1,143","17,048"
org.apache.commons.configuration2.TestINIConfiguration.GlobalSectionTestThread,40,171
org.apache.commons.configuration2.TestImmutableConfiguration,189,"1,763"
org.apache.commons.configuration2.TestJNDIConfiguration,247,"2,675"
org.apache.commons.configuration2.TestJNDIConfiguration.PotentialErrorJNDIConfiguration,45,138
org.apache.commons.configuration2.TestJNDIEnvironmentValues,102,"1,091"
org.apache.commons.configuration2.TestJSONConfiguration,101,"1,271"
org.apache.commons.configuration2.TestMapConfiguration,127,"1,376"
org.apache.commons.configuration2.TestNonStringProperties,19,110
org.apache.commons.configuration2.TestNullCompositeConfiguration,369,"6,328"
org.apache.commons.configuration2.TestNullJNDIEnvironmentValues,102,"1,097"
org.apache.commons.configuration2.TestPatternSubtreeConfiguration,55,423
org.apache.commons.configuration2.TestPropertiesConfiguration,"1,232","18,870"
org.apache.commons.configuration2.TestPropertiesConfiguration.DummyLayout,15,39
org.apache.commons.configuration2.TestPropertiesConfiguration.MockHttpURLConnection,40,171
org.apache.commons.configuration2.TestPropertiesConfiguration.MockHttpURLStreamHandler,27,122
org.apache.commons.configuration2.TestPropertiesConfiguration.PropertiesReaderTestImpl,34,162
org.apache.commons.configuration2.TestPropertiesConfiguration.PropertiesWriterTestImpl,13,43
org.apache.commons.configuration2.TestPropertiesConfigurationLayout,654,"10,889"
org.apache.commons.configuration2.TestPropertiesConfigurationLayout.LayoutTestConfiguration,28,137
org.apache.commons.configuration2.TestPropertiesConfigurationLayout.PropertiesBuilder,71,315
org.apache.commons.configuration2.TestPropertiesSequence,99,"1,746"
org.apache.commons.configuration2.TestStrictConfigurationComparator,60,466
org.apache.commons.configuration2.TestSubnodeConfiguration,444,"5,025"
org.apache.commons.configuration2.TestSubsetConfiguration,289,"4,300"
org.apache.commons.configuration2.TestSystemConfiguration,111,977
org.apache.commons.configuration2.TestThreesomeConfiguration,41,248
org.apache.commons.configuration2.TestXMLConfiguration,"1,540","25,367"
org.apache.commons.configuration2.TestXMLConfiguration.ReloadThread,19,80
org.apache.commons.configuration2.TestXMLConfiguration_605,109,900
org.apache.commons.configuration2.TestXMLDocumentHelper,275,"2,370"
org.apache.commons.configuration2.TestXMLListHandling,153,"1,285"
org.apache.commons.configuration2.TestXMLPropertiesConfiguration,114,"1,564"
org.apache.commons.configuration2.TestYAMLConfiguration,88,"1,014"
org.apache.commons.configuration2.XMLConfiguration,951,"10,879"
org.apache.commons.configuration2.XMLConfiguration.XMLBuilderVisitor,293,"2,584"
org.apache.commons.configuration2.XMLDocumentHelper,320,"1,422"
org.apache.commons.configuration2.XMLListReference,181,"1,004"
org.apache.commons.configuration2.XMLPropertiesConfiguration,293,"2,981"
org.apache.commons.configuration2.XMLPropertiesConfiguration.XMLPropertiesHandler,57,331
org.apache.commons.configuration2.YAMLConfiguration,105,555
org.apache.commons.configuration2.beanutils.BeanCreationTestBean,34,133
org.apache.commons.configuration2.beanutils.BeanCreationTestBeanWithListChild,36,170
org.apache.commons.configuration2.beanutils.BeanCreationTestCtorBean,23,77
org.apache.commons.configuration2.beanutils.BeanDeclarationTestImpl,71,263
org.apache.commons.configuration2.beanutils.BeanHelper,553,"3,664"
org.apache.commons.configuration2.beanutils.BeanHelper.BeanCreationContextImpl,52,224
org.apache.commons.configuration2.beanutils.CombinedBeanDeclaration,159,706
org.apache.commons.configuration2.beanutils.ConfigurationDynaBean,198,"1,910"
org.apache.commons.configuration2.beanutils.ConfigurationDynaClass,113,958
org.apache.commons.configuration2.beanutils.ConstructorArg,197,663
org.apache.commons.configuration2.beanutils.DefaultBeanFactory,303,"1,621"
org.apache.commons.configuration2.beanutils.TestBeanHelper,434,"5,016"
org.apache.commons.configuration2.beanutils.TestBeanHelper.TestBeanFactory,55,283
org.apache.commons.configuration2.beanutils.TestCombinedBeanDeclaration,246,"2,663"
org.apache.commons.configuration2.beanutils.TestConfigurationDynaBean,603,"9,029"
org.apache.commons.configuration2.beanutils.TestConfigurationDynaBeanXMLConfig,23,15
org.apache.commons.configuration2.beanutils.TestConstructorArg,65,390
org.apache.commons.configuration2.beanutils.TestDefaultBeanFactory,262,"2,716"
org.apache.commons.configuration2.beanutils.TestXMLBeanDeclaration,493,"6,529"
org.apache.commons.configuration2.beanutils.TestXMLBeanDeclaration.XMLBeanDeclarationTestImpl,12,36
org.apache.commons.configuration2.beanutils.XMLBeanDeclaration,530,"3,229"
org.apache.commons.configuration2.beanutils.XMLBeanDeclaration.NodeData,115,398
org.apache.commons.configuration2.builder.AutoSaveListener,125,428
org.apache.commons.configuration2.builder.BasicBuilderParameters,567,"3,281"
org.apache.commons.configuration2.builder.BasicConfigurationBuilder,702,"3,242"
org.apache.commons.configuration2.builder.BuilderConfigurationWrapperFactory,141,799
org.apache.commons.configuration2.builder.BuilderConfigurationWrapperFactory.BuilderConfigurationWrapperInvocationHandler,85,298
