Complexity metrics,Sun, 16 Jun 2019 17:13:20 EDT
Method,ev(G),iv(G),v(G)
"org.apache.commons.collections4.collection.CompositeCollectionTest.testRemove()",1,1,1
"org.apache.commons.collections4.collection.CompositeCollectionTest.testRemoveAll()",1,1,1
"org.apache.commons.collections4.collection.CompositeCollectionTest.testRemoveComposited()",1,1,1
"org.apache.commons.collections4.collection.CompositeCollectionTest.testRemoveIf()",1,1,1
"org.apache.commons.collections4.collection.CompositeCollectionTest.testRetainAll()",1,1,1
"org.apache.commons.collections4.collection.CompositeCollectionTest.testSize()",1,1,1
"org.apache.commons.collections4.collection.CompositeCollectionTest.testToCollection()",1,1,1
"org.apache.commons.collections4.collection.CompositeCollectionTest.testUnsupportedRemove()",1,1,2
"org.apache.commons.collections4.collection.IndexedCollection.IndexedCollection(Collection<C>,Transformer<C, K>,MultiMap<K, C>,boolean)",1,1,1
"org.apache.commons.collections4.collection.IndexedCollection.add(C)",1,2,2
"org.apache.commons.collections4.collection.IndexedCollection.addAll(Collection<? extends C>)",1,2,2
"org.apache.commons.collections4.collection.IndexedCollection.addToIndex(C)",2,2,3
"org.apache.commons.collections4.collection.IndexedCollection.clear()",1,1,1
"org.apache.commons.collections4.collection.IndexedCollection.contains(Object)",1,1,1
"org.apache.commons.collections4.collection.IndexedCollection.containsAll(Collection<?>)",3,2,3
"org.apache.commons.collections4.collection.IndexedCollection.get(K)",1,2,2
"org.apache.commons.collections4.collection.IndexedCollection.nonUniqueIndexedCollection(Collection<C>,Transformer<C, K>)",1,1,1
"org.apache.commons.collections4.collection.IndexedCollection.reindex()",1,2,2
"org.apache.commons.collections4.collection.IndexedCollection.remove(Object)",1,2,2
"org.apache.commons.collections4.collection.IndexedCollection.removeAll(Collection<?>)",1,2,2
"org.apache.commons.collections4.collection.IndexedCollection.removeFromIndex(C)",1,1,1
"org.apache.commons.collections4.collection.IndexedCollection.removeIf(Predicate<? super C>)",2,4,5
"org.apache.commons.collections4.collection.IndexedCollection.retainAll(Collection<?>)",1,2,2
"org.apache.commons.collections4.collection.IndexedCollection.uniqueIndexedCollection(Collection<C>,Transformer<C, K>)",1,1,1
"org.apache.commons.collections4.collection.IndexedCollection.values(K)",1,1,1
"org.apache.commons.collections4.collection.IndexedCollectionTest.IndexedCollectionTest(String)",1,1,1
"org.apache.commons.collections4.collection.IndexedCollectionTest.IntegerTransformer.transform(String)",1,1,1
"org.apache.commons.collections4.collection.IndexedCollectionTest.decorateCollection(Collection<String>)",1,1,1
"org.apache.commons.collections4.collection.IndexedCollectionTest.decorateUniqueCollection(Collection<String>)",1,1,1
"org.apache.commons.collections4.collection.IndexedCollectionTest.getFullElements()",1,1,1
"org.apache.commons.collections4.collection.IndexedCollectionTest.getOtherElements()",1,1,1
"org.apache.commons.collections4.collection.IndexedCollectionTest.makeConfirmedCollection()",1,1,1
"org.apache.commons.collections4.collection.IndexedCollectionTest.makeConfirmedFullCollection()",1,1,1
"org.apache.commons.collections4.collection.IndexedCollectionTest.makeFullCollection()",1,1,1
"org.apache.commons.collections4.collection.IndexedCollectionTest.makeObject()",1,1,1
"org.apache.commons.collections4.collection.IndexedCollectionTest.makeTestCollection()",1,1,1
"org.apache.commons.collections4.collection.IndexedCollectionTest.makeUniqueTestCollection()",1,1,1
"org.apache.commons.collections4.collection.IndexedCollectionTest.skipSerializedCanonicalTests()",1,1,1
"org.apache.commons.collections4.collection.IndexedCollectionTest.testAddedObjectsCanBeRetrievedByKey()",1,1,1
"org.apache.commons.collections4.collection.IndexedCollectionTest.testDecoratedCollectionIsIndexedOnCreation()",1,1,1
"org.apache.commons.collections4.collection.IndexedCollectionTest.testEnsureDuplicateObjectsCauseException()",1,1,2
"org.apache.commons.collections4.collection.IndexedCollectionTest.testReindexUpdatesIndexWhenDecoratedCollectionIsModifiedSeparately()",1,1,1
"org.apache.commons.collections4.collection.PredicatedCollection.Builder.Builder(Predicate<? super E>)",2,1,2
"org.apache.commons.collections4.collection.PredicatedCollection.Builder.add(E)",1,2,2
"org.apache.commons.collections4.collection.PredicatedCollection.Builder.addAll(Collection<? extends E>)",1,3,3
"org.apache.commons.collections4.collection.PredicatedCollection.Builder.createPredicatedBag()",1,1,1
"org.apache.commons.collections4.collection.PredicatedCollection.Builder.createPredicatedBag(Bag<E>)",2,1,2
"org.apache.commons.collections4.collection.PredicatedCollection.Builder.createPredicatedList()",1,1,1
"org.apache.commons.collections4.collection.PredicatedCollection.Builder.createPredicatedList(List<E>)",2,1,2
"org.apache.commons.collections4.collection.PredicatedCollection.Builder.createPredicatedMultiSet()",1,1,1
"org.apache.commons.collections4.collection.PredicatedCollection.Builder.createPredicatedMultiSet(MultiSet<E>)",2,1,2
"org.apache.commons.collections4.collection.PredicatedCollection.Builder.createPredicatedQueue()",1,1,1
"org.apache.commons.collections4.collection.PredicatedCollection.Builder.createPredicatedQueue(Queue<E>)",2,1,2
"org.apache.commons.collections4.collection.PredicatedCollection.Builder.createPredicatedSet()",1,1,1
"org.apache.commons.collections4.collection.PredicatedCollection.Builder.createPredicatedSet(Set<E>)",2,1,2
"org.apache.commons.collections4.collection.PredicatedCollection.Builder.rejectedElements()",1,1,1
"org.apache.commons.collections4.collection.PredicatedCollection.PredicatedCollection(Collection<E>,Predicate<? super E>)",2,2,3
"org.apache.commons.collections4.collection.PredicatedCollection.add(E)",1,1,1
"org.apache.commons.collections4.collection.PredicatedCollection.addAll(Collection<? extends E>)",1,2,2
"org.apache.commons.collections4.collection.PredicatedCollection.builder(Predicate<? super E>)",1,1,1
"org.apache.commons.collections4.collection.PredicatedCollection.notNullBuilder()",1,1,1
"org.apache.commons.collections4.collection.PredicatedCollection.predicatedCollection(Collection<T>,Predicate<? super T>)",1,1,1
"org.apache.commons.collections4.collection.PredicatedCollection.validate(E)",2,1,2
"org.apache.commons.collections4.collection.PredicatedCollectionBuilderTest.OddPredicate.evaluate(Integer)",1,1,1
"org.apache.commons.collections4.collection.PredicatedCollectionBuilderTest.addAllPass()",1,1,1
"org.apache.commons.collections4.collection.PredicatedCollectionBuilderTest.addFail()",1,1,1
"org.apache.commons.collections4.collection.PredicatedCollectionBuilderTest.addPass()",1,1,1
"org.apache.commons.collections4.collection.PredicatedCollectionBuilderTest.checkPredicatedCollection1(Collection<String>)",1,1,2
"org.apache.commons.collections4.collection.PredicatedCollectionBuilderTest.checkPredicatedCollection2(Collection<Integer>)",1,1,2
"org.apache.commons.collections4.collection.PredicatedCollectionBuilderTest.createPredicatedCollectionWithNotNullPredicate()",1,1,1
"org.apache.commons.collections4.collection.PredicatedCollectionBuilderTest.createPredicatedCollectionWithPredicate()",1,1,1
"org.apache.commons.collections4.collection.PredicatedCollectionTest.PredicatedCollectionTest(String)",1,1,1
"org.apache.commons.collections4.collection.PredicatedCollectionTest.decorateCollection(Collection<E>,Predicate<E>)",1,1,1
"org.apache.commons.collections4.collection.PredicatedCollectionTest.getCompatibilityVersion()",1,1,1
"org.apache.commons.collections4.collection.PredicatedCollectionTest.getFullElements()",1,1,1
"org.apache.commons.collections4.collection.PredicatedCollectionTest.makeConfirmedCollection()",1,1,1
"org.apache.commons.collections4.collection.PredicatedCollectionTest.makeConfirmedFullCollection()",1,1,1
"org.apache.commons.collections4.collection.PredicatedCollectionTest.makeFullCollection()",1,1,1
"org.apache.commons.collections4.collection.PredicatedCollectionTest.makeObject()",1,1,1
"org.apache.commons.collections4.collection.PredicatedCollectionTest.makeTestCollection()",1,1,1
"org.apache.commons.collections4.collection.PredicatedCollectionTest.testIllegalAdd()",1,1,2
"org.apache.commons.collections4.collection.PredicatedCollectionTest.testIllegalAddAll()",1,1,2
"org.apache.commons.collections4.collection.SynchronizedCollection.SynchronizedCollection(Collection<E>)",2,1,2
"org.apache.commons.collections4.collection.SynchronizedCollection.SynchronizedCollection(Collection<E>,Object)",3,1,3
"org.apache.commons.collections4.collection.SynchronizedCollection.add(E)",1,1,1
"org.apache.commons.collections4.collection.SynchronizedCollection.addAll(Collection<? extends E>)",1,1,1
"org.apache.commons.collections4.collection.SynchronizedCollection.clear()",1,1,1
"org.apache.commons.collections4.collection.SynchronizedCollection.contains(Object)",1,1,1
"org.apache.commons.collections4.collection.SynchronizedCollection.containsAll(Collection<?>)",1,1,1
"org.apache.commons.collections4.collection.SynchronizedCollection.decorated()",1,1,1
"org.apache.commons.collections4.collection.SynchronizedCollection.equals(Object)",2,2,3
"org.apache.commons.collections4.collection.SynchronizedCollection.hashCode()",1,1,1
"org.apache.commons.collections4.collection.SynchronizedCollection.isEmpty()",1,1,1
"org.apache.commons.collections4.collection.SynchronizedCollection.iterator()",1,1,1
"org.apache.commons.collections4.collection.SynchronizedCollection.remove(Object)",1,1,1
"org.apache.commons.collections4.collection.SynchronizedCollection.removeAll(Collection<?>)",1,1,1
"org.apache.commons.collections4.collection.SynchronizedCollection.removeIf(Predicate<? super E>)",1,1,1
"org.apache.commons.collections4.collection.SynchronizedCollection.retainAll(Collection<?>)",1,1,1
"org.apache.commons.collections4.collection.SynchronizedCollection.size()",1,1,1
"org.apache.commons.collections4.collection.SynchronizedCollection.synchronizedCollection(Collection<T>)",1,1,1
"org.apache.commons.collections4.collection.SynchronizedCollection.toArray()",1,1,1
"org.apache.commons.collections4.collection.SynchronizedCollection.toArray(T[])",1,1,1
"org.apache.commons.collections4.collection.SynchronizedCollection.toString()",1,1,1
"org.apache.commons.collections4.collection.SynchronizedCollectionTest.SynchronizedCollectionTest(String)",1,1,1
"org.apache.commons.collections4.collection.SynchronizedCollectionTest.getCompatibilityVersion()",1,1,1
"org.apache.commons.collections4.collection.SynchronizedCollectionTest.makeConfirmedCollection()",1,1,1
"org.apache.commons.collections4.collection.SynchronizedCollectionTest.makeConfirmedFullCollection()",1,1,1
"org.apache.commons.collections4.collection.SynchronizedCollectionTest.makeObject()",1,1,1
"org.apache.commons.collections4.collection.TransformedCollection.TransformedCollection(Collection<E>,Transformer<? super E, ? extends E>)",2,1,2
"org.apache.commons.collections4.collection.TransformedCollection.add(E)",1,1,1
"org.apache.commons.collections4.collection.TransformedCollection.addAll(Collection<? extends E>)",1,1,1
"org.apache.commons.collections4.collection.TransformedCollection.transform(Collection<? extends E>)",1,2,2
"org.apache.commons.collections4.collection.TransformedCollection.transform(E)",1,1,1
"org.apache.commons.collections4.collection.TransformedCollection.transformedCollection(Collection<E>,Transformer<? super E, ? extends E>)",1,3,3
"org.apache.commons.collections4.collection.TransformedCollection.transformingCollection(Collection<E>,Transformer<? super E, ? extends E>)",1,1,1
"org.apache.commons.collections4.collection.TransformedCollectionTest.StringToInteger.transform(Object)",1,1,1
"org.apache.commons.collections4.collection.TransformedCollectionTest.TransformedCollectionTest(String)",1,1,1
"org.apache.commons.collections4.collection.TransformedCollectionTest.getCompatibilityVersion()",1,1,1
"org.apache.commons.collections4.collection.TransformedCollectionTest.getFullElements()",1,1,1
"org.apache.commons.collections4.collection.TransformedCollectionTest.getOtherElements()",1,1,1
"org.apache.commons.collections4.collection.TransformedCollectionTest.makeConfirmedCollection()",1,1,1
"org.apache.commons.collections4.collection.TransformedCollectionTest.makeConfirmedFullCollection()",1,1,1
"org.apache.commons.collections4.collection.TransformedCollectionTest.makeFullCollection()",1,1,1
"org.apache.commons.collections4.collection.TransformedCollectionTest.makeObject()",1,1,1
"org.apache.commons.collections4.collection.TransformedCollectionTest.testTransformedCollection()",1,2,2
"org.apache.commons.collections4.collection.TransformedCollectionTest.testTransformedCollection_decorateTransform()",1,2,2
"org.apache.commons.collections4.collection.UnmodifiableBoundedCollection.UnmodifiableBoundedCollection(BoundedCollection<? extends E>)",1,1,1
"org.apache.commons.collections4.collection.UnmodifiableBoundedCollection.add(E)",1,1,1
"org.apache.commons.collections4.collection.UnmodifiableBoundedCollection.addAll(Collection<? extends E>)",1,1,1
"org.apache.commons.collections4.collection.UnmodifiableBoundedCollection.clear()",1,1,1
"org.apache.commons.collections4.collection.UnmodifiableBoundedCollection.decorated()",1,1,1
"org.apache.commons.collections4.collection.UnmodifiableBoundedCollection.isFull()",1,1,1
"org.apache.commons.collections4.collection.UnmodifiableBoundedCollection.iterator()",1,1,1
"org.apache.commons.collections4.collection.UnmodifiableBoundedCollection.maxSize()",1,1,1
"org.apache.commons.collections4.collection.UnmodifiableBoundedCollection.remove(Object)",1,1,1
"org.apache.commons.collections4.collection.UnmodifiableBoundedCollection.removeAll(Collection<?>)",1,1,1
"org.apache.commons.collections4.collection.UnmodifiableBoundedCollection.removeIf(Predicate<? super E>)",1,1,1
"org.apache.commons.collections4.collection.UnmodifiableBoundedCollection.retainAll(Collection<?>)",1,1,1
"org.apache.commons.collections4.collection.UnmodifiableBoundedCollection.unmodifiableBoundedCollection(BoundedCollection<? extends E>)",2,1,2
"org.apache.commons.collections4.collection.UnmodifiableBoundedCollection.unmodifiableBoundedCollection(Collection<? extends E>)",5,4,7
"org.apache.commons.collections4.collection.UnmodifiableBoundedCollectionTest.UnmodifiableBoundedCollectionTest(String)",1,1,1
"org.apache.commons.collections4.collection.UnmodifiableBoundedCollectionTest.getCompatibilityVersion()",1,1,1
"org.apache.commons.collections4.collection.UnmodifiableBoundedCollectionTest.isAddSupported()",1,1,1
"org.apache.commons.collections4.collection.UnmodifiableBoundedCollectionTest.isRemoveSupported()",1,1,1
"org.apache.commons.collections4.collection.UnmodifiableBoundedCollectionTest.makeConfirmedCollection()",1,1,1
"org.apache.commons.collections4.collection.UnmodifiableBoundedCollectionTest.makeConfirmedFullCollection()",1,1,1
"org.apache.commons.collections4.collection.UnmodifiableBoundedCollectionTest.makeFullCollection()",1,1,1
"org.apache.commons.collections4.collection.UnmodifiableBoundedCollectionTest.makeObject()",1,1,1
"org.apache.commons.collections4.collection.UnmodifiableBoundedCollectionTest.skipSerializedCanonicalTests()",1,1,1
"org.apache.commons.collections4.collection.UnmodifiableBoundedCollectionTest.testDecorateFactory()",1,1,2
"org.apache.commons.collections4.collection.UnmodifiableBoundedCollectionTest.testUnmodifiable()",1,1,1
"org.apache.commons.collections4.collection.UnmodifiableCollection.UnmodifiableCollection(Collection<? extends E>)",1,1,1
"org.apache.commons.collections4.collection.UnmodifiableCollection.add(E)",1,1,1
"org.apache.commons.collections4.collection.UnmodifiableCollection.addAll(Collection<? extends E>)",1,1,1
"org.apache.commons.collections4.collection.UnmodifiableCollection.clear()",1,1,1
"org.apache.commons.collections4.collection.UnmodifiableCollection.iterator()",1,1,1
"org.apache.commons.collections4.collection.UnmodifiableCollection.remove(Object)",1,1,1
"org.apache.commons.collections4.collection.UnmodifiableCollection.removeAll(Collection<?>)",1,1,1
"org.apache.commons.collections4.collection.UnmodifiableCollection.removeIf(Predicate<? super E>)",1,1,1
"org.apache.commons.collections4.collection.UnmodifiableCollection.retainAll(Collection<?>)",1,1,1
"org.apache.commons.collections4.collection.UnmodifiableCollection.unmodifiableCollection(Collection<? extends T>)",2,1,2
"org.apache.commons.collections4.collection.UnmodifiableCollectionTest.UnmodifiableCollectionTest(String)",1,1,1
"org.apache.commons.collections4.collection.UnmodifiableCollectionTest.getCompatibilityVersion()",1,1,1
"org.apache.commons.collections4.collection.UnmodifiableCollectionTest.isAddSupported()",1,1,1
"org.apache.commons.collections4.collection.UnmodifiableCollectionTest.isRemoveSupported()",1,1,1
"org.apache.commons.collections4.collection.UnmodifiableCollectionTest.makeConfirmedCollection()",1,1,1
"org.apache.commons.collections4.collection.UnmodifiableCollectionTest.makeConfirmedFullCollection()",1,1,1
"org.apache.commons.collections4.collection.UnmodifiableCollectionTest.makeFullCollection()",1,1,1
"org.apache.commons.collections4.collection.UnmodifiableCollectionTest.makeObject()",1,1,1
"org.apache.commons.collections4.collection.UnmodifiableCollectionTest.testDecorateFactory()",1,1,2
"org.apache.commons.collections4.collection.UnmodifiableCollectionTest.testUnmodifiable()",1,1,1
"org.apache.commons.collections4.comparators.AbstractComparatorTest.AbstractComparatorTest(String)",1,1,1
"org.apache.commons.collections4.comparators.AbstractComparatorTest.getCanonicalComparatorName(Object)",1,1,1
"org.apache.commons.collections4.comparators.AbstractComparatorTest.randomizeObjects(List<?>)",1,1,1
"org.apache.commons.collections4.comparators.AbstractComparatorTest.reverseObjects(List<?>)",1,1,1
"org.apache.commons.collections4.comparators.AbstractComparatorTest.sortObjects(List<T>,Comparator<? super T>)",1,1,1
"org.apache.commons.collections4.comparators.AbstractComparatorTest.supportsEmptyCollections()",1,1,1
"org.apache.commons.collections4.comparators.AbstractComparatorTest.supportsFullCollections()",1,1,1
"org.apache.commons.collections4.comparators.AbstractComparatorTest.testComparatorCompatibility()",1,4,4
"org.apache.commons.collections4.comparators.AbstractComparatorTest.testComparatorIsSerializable()",1,1,1
"org.apache.commons.collections4.comparators.AbstractComparatorTest.testEmptyListSort()",1,1,1
"org.apache.commons.collections4.comparators.AbstractComparatorTest.testRandomListSort()",1,1,1
"org.apache.commons.collections4.comparators.AbstractComparatorTest.testReverseListSort()",1,1,1
"org.apache.commons.collections4.comparators.AbstractNullComparatorTest.AbstractNullComparatorTest(String)",1,1,1
"org.apache.commons.collections4.comparators.AbstractNullComparatorTest.TestNullComparator1.TestNullComparator1(String)",1,1,1
"org.apache.commons.collections4.comparators.AbstractNullComparatorTest.TestNullComparator1.getCanonicalComparatorName(Object)",1,1,1
"org.apache.commons.collections4.comparators.AbstractNullComparatorTest.TestNullComparator1.getComparableObjectsOrdered()",1,1,1
"org.apache.commons.collections4.comparators.AbstractNullComparatorTest.TestNullComparator1.getCompatibilityVersion()",1,1,1
"org.apache.commons.collections4.comparators.AbstractNullComparatorTest.TestNullComparator1.makeObject()",1,1,1
"org.apache.commons.collections4.comparators.AbstractNullComparatorTest.TestNullComparator2.TestNullComparator2(String)",1,1,1
"org.apache.commons.collections4.comparators.AbstractNullComparatorTest.TestNullComparator2.getCanonicalComparatorName(Object)",1,1,1
"org.apache.commons.collections4.comparators.AbstractNullComparatorTest.TestNullComparator2.getComparableObjectsOrdered()",1,1,1
"org.apache.commons.collections4.comparators.AbstractNullComparatorTest.TestNullComparator2.getCompatibilityVersion()",1,1,1
"org.apache.commons.collections4.comparators.AbstractNullComparatorTest.TestNullComparator2.makeObject()",1,1,1
"org.apache.commons.collections4.comparators.AbstractNullComparatorTest.suite()",1,1,1
"org.apache.commons.collections4.comparators.BooleanComparator.BooleanComparator()",1,1,1
"org.apache.commons.collections4.comparators.BooleanComparator.BooleanComparator(boolean)",1,1,1
"org.apache.commons.collections4.comparators.BooleanComparator.booleanComparator(boolean)",1,1,2
"org.apache.commons.collections4.comparators.BooleanComparator.compare(Boolean,Boolean)",1,1,3
"org.apache.commons.collections4.comparators.BooleanComparator.equals(Object)",1,1,3
"org.apache.commons.collections4.comparators.BooleanComparator.getFalseFirstComparator()",1,1,1
"org.apache.commons.collections4.comparators.BooleanComparator.getTrueFirstComparator()",1,1,1
"org.apache.commons.collections4.comparators.BooleanComparator.hashCode()",1,1,2
"org.apache.commons.collections4.comparators.BooleanComparator.sortsTrueFirst()",1,1,1
"org.apache.commons.collections4.comparators.BooleanComparatorTest.BooleanComparatorTest(String)",1,1,1
"org.apache.commons.collections4.comparators.BooleanComparatorTest.allTests(boolean,BooleanComparator)",1,2,2
"org.apache.commons.collections4.comparators.BooleanComparatorTest.falseFirstTests(BooleanComparator)",1,1,1
"org.apache.commons.collections4.comparators.BooleanComparatorTest.getComparableObjectsOrdered()",1,1,1
"org.apache.commons.collections4.comparators.BooleanComparatorTest.getCompatibilityVersion()",1,1,1
"org.apache.commons.collections4.comparators.BooleanComparatorTest.makeObject()",1,1,1
"org.apache.commons.collections4.comparators.BooleanComparatorTest.nullArgumentTests(BooleanComparator)",1,1,6
"org.apache.commons.collections4.comparators.BooleanComparatorTest.orderIndependentTests(BooleanComparator)",1,1,1
"org.apache.commons.collections4.comparators.BooleanComparatorTest.testConstructors()",1,1,1
"org.apache.commons.collections4.comparators.BooleanComparatorTest.testEqualsCompatibleInstance()",1,1,1
"org.apache.commons.collections4.comparators.BooleanComparatorTest.testStaticFactoryMethods()",1,1,1
"org.apache.commons.collections4.comparators.BooleanComparatorTest.trueFirstTests(BooleanComparator)",1,1,1
"org.apache.commons.collections4.comparators.ComparableComparator.ComparableComparator()",1,1,1
"org.apache.commons.collections4.comparators.ComparableComparator.comparableComparator()",1,1,1
"org.apache.commons.collections4.comparators.ComparableComparator.compare(E,E)",1,1,1
"org.apache.commons.collections4.comparators.ComparableComparator.equals(Object)",1,3,3
"org.apache.commons.collections4.comparators.ComparableComparator.hashCode()",1,1,1
"org.apache.commons.collections4.comparators.ComparableComparatorTest.ComparableComparatorTest(String)",1,1,1
"org.apache.commons.collections4.comparators.ComparableComparatorTest.getComparableObjectsOrdered()",1,1,1
"org.apache.commons.collections4.comparators.ComparableComparatorTest.getCompatibilityVersion()",1,1,1
"org.apache.commons.collections4.comparators.ComparableComparatorTest.makeObject()",1,1,1
"org.apache.commons.collections4.comparators.ComparatorChain.ComparatorChain()",1,1,1
"org.apache.commons.collections4.comparators.ComparatorChain.ComparatorChain(Comparator<E>)",1,1,1
"org.apache.commons.collections4.comparators.ComparatorChain.ComparatorChain(Comparator<E>,boolean)",1,2,2
"org.apache.commons.collections4.comparators.ComparatorChain.ComparatorChain(List<Comparator<E>>)",1,1,1
"org.apache.commons.collections4.comparators.ComparatorChain.ComparatorChain(List<Comparator<E>>,BitSet)",1,1,1
"org.apache.commons.collections4.comparators.ComparatorChain.addComparator(Comparator<E>)",1,1,1
"org.apache.commons.collections4.comparators.ComparatorChain.addComparator(Comparator<E>,boolean)",1,2,2
"org.apache.commons.collections4.comparators.ComparatorChain.checkChainIntegrity()",2,1,2
"org.apache.commons.collections4.comparators.ComparatorChain.checkLocked()",2,1,2
"org.apache.commons.collections4.comparators.ComparatorChain.compare(E,E)",3,4,6
"org.apache.commons.collections4.comparators.ComparatorChain.equals(Object)",4,5,7
"org.apache.commons.collections4.comparators.ComparatorChain.hashCode()",1,3,3
"org.apache.commons.collections4.comparators.ComparatorChain.isLocked()",1,1,1
"org.apache.commons.collections4.comparators.ComparatorChain.setComparator(int,Comparator<E>)",1,1,1
"org.apache.commons.collections4.comparators.ComparatorChain.setComparator(int,Comparator<E>,boolean)",1,2,2
"org.apache.commons.collections4.comparators.ComparatorChain.setForwardSort(int)",1,1,1
"org.apache.commons.collections4.comparators.ComparatorChain.setReverseSort(int)",1,1,1
"org.apache.commons.collections4.comparators.ComparatorChain.size()",1,1,1
"org.apache.commons.collections4.comparators.ComparatorChainTest.ColumnComparator.ColumnComparator(int)",1,1,1
"org.apache.commons.collections4.comparators.ComparatorChainTest.ColumnComparator.compare(PseudoRow,PseudoRow)",3,1,3
"org.apache.commons.collections4.comparators.ComparatorChainTest.ColumnComparator.equals(Object)",1,1,2
"org.apache.commons.collections4.comparators.ComparatorChainTest.ColumnComparator.hashCode()",1,1,1
"org.apache.commons.collections4.comparators.ComparatorChainTest.ComparatorChainTest(String)",1,1,1
"org.apache.commons.collections4.comparators.ComparatorChainTest.PseudoRow.PseudoRow(int,int,int)",1,1,1
"org.apache.commons.collections4.comparators.ComparatorChainTest.PseudoRow.equals(Object)",5,1,5
"org.apache.commons.collections4.comparators.ComparatorChainTest.PseudoRow.getColumn(int)",1,1,1
"org.apache.commons.collections4.comparators.ComparatorChainTest.PseudoRow.toString()",1,1,1
"org.apache.commons.collections4.comparators.ComparatorChainTest.getComparableObjectsOrdered()",1,1,1
"org.apache.commons.collections4.comparators.ComparatorChainTest.getCompatibilityVersion()",1,1,1
"org.apache.commons.collections4.comparators.ComparatorChainTest.makeObject()",1,1,1
"org.apache.commons.collections4.comparators.ComparatorChainTest.testBadListComparatorChain()",1,1,2
"org.apache.commons.collections4.comparators.ComparatorChainTest.testBadNoopComparatorChain()",1,1,2
"org.apache.commons.collections4.comparators.ComparatorChainTest.testComparatorChainOnMinvaluedCompatator()",3,1,3
"org.apache.commons.collections4.comparators.ComparatorChainTest.testListComparatorChain()",1,1,1
"org.apache.commons.collections4.comparators.ComparatorChainTest.testNoopComparatorChain()",1,1,1
"org.apache.commons.collections4.comparators.FixedOrderComparator.FixedOrderComparator()",1,1,1
"org.apache.commons.collections4.comparators.FixedOrderComparator.FixedOrderComparator(List<T>)",2,2,3
"org.apache.commons.collections4.comparators.FixedOrderComparator.FixedOrderComparator(T...)",2,2,3
"org.apache.commons.collections4.comparators.FixedOrderComparator.add(T)",1,1,1
"org.apache.commons.collections4.comparators.FixedOrderComparator.addAsEqual(T,T)",2,1,2
"org.apache.commons.collections4.comparators.FixedOrderComparator.checkLocked()",2,1,2
"org.apache.commons.collections4.comparators.FixedOrderComparator.compare(T,T)",5,2,12
"org.apache.commons.collections4.comparators.FixedOrderComparator.equals(Object)",4,4,10
"org.apache.commons.collections4.comparators.FixedOrderComparator.getUnknownObjectBehavior()",1,1,1
"org.apache.commons.collections4.comparators.FixedOrderComparator.hashCode()",1,2,3
"org.apache.commons.collections4.comparators.FixedOrderComparator.isLocked()",1,1,1
"org.apache.commons.collections4.comparators.FixedOrderComparator.setUnknownObjectBehavior(UnknownObjectBehavior)",2,1,2
"org.apache.commons.collections4.comparators.FixedOrderComparatorTest.FixedOrderComparatorTest(String)",1,1,1
"org.apache.commons.collections4.comparators.FixedOrderComparatorTest.assertComparatorYieldsOrder(String[],Comparator<String>)",1,5,8
"org.apache.commons.collections4.comparators.FixedOrderComparatorTest.getComparableObjectsOrdered()",1,1,1
"org.apache.commons.collections4.comparators.FixedOrderComparatorTest.getCompatibilityVersion()",1,1,1
"org.apache.commons.collections4.comparators.FixedOrderComparatorTest.makeObject()",1,1,1
"org.apache.commons.collections4.comparators.FixedOrderComparatorTest.testAddAsEqual()",1,1,1
"org.apache.commons.collections4.comparators.FixedOrderComparatorTest.testArrayConstructor()",1,1,1
"org.apache.commons.collections4.comparators.FixedOrderComparatorTest.testConstructorPlusAdd()",1,2,2
"org.apache.commons.collections4.comparators.FixedOrderComparatorTest.testListConstructor()",1,1,1
"org.apache.commons.collections4.comparators.FixedOrderComparatorTest.testLock()",1,1,3
"org.apache.commons.collections4.comparators.FixedOrderComparatorTest.testUnknownObjectBehavior()",1,1,3
"org.apache.commons.collections4.comparators.NullComparator.NullComparator()",1,1,1
"org.apache.commons.collections4.comparators.NullComparator.NullComparator(Comparator<? super E>)",1,1,1
"org.apache.commons.collections4.comparators.NullComparator.NullComparator(Comparator<? super E>,boolean)",2,1,2
"org.apache.commons.collections4.comparators.NullComparator.NullComparator(boolean)",1,1,1
"org.apache.commons.collections4.comparators.NullComparator.compare(E,E)",4,1,6
"org.apache.commons.collections4.comparators.NullComparator.equals(Object)",4,2,5
"org.apache.commons.collections4.comparators.NullComparator.hashCode()",1,1,2
"org.apache.commons.collections4.comparators.ReverseComparator.ReverseComparator()",1,1,1
"org.apache.commons.collections4.comparators.ReverseComparator.ReverseComparator(Comparator<? super E>)",1,1,2
"org.apache.commons.collections4.comparators.ReverseComparator.compare(E,E)",1,1,1
"org.apache.commons.collections4.comparators.ReverseComparator.equals(Object)",4,2,4
"org.apache.commons.collections4.comparators.ReverseComparator.hashCode()",1,1,1
"org.apache.commons.collections4.comparators.ReverseComparatorTest.ReverseComparatorTest(String)",1,1,1
"org.apache.commons.collections4.comparators.ReverseComparatorTest.getComparableObjectsOrdered()",1,1,1
"org.apache.commons.collections4.comparators.ReverseComparatorTest.getCompatibilityVersion()",1,1,1
"org.apache.commons.collections4.comparators.ReverseComparatorTest.makeObject()",1,1,1
"org.apache.commons.collections4.comparators.ReverseComparatorTest.testSerializeDeserializeThenCompare()",1,1,1
"org.apache.commons.collections4.comparators.TransformingComparator.TransformingComparator(Transformer<? super I, ? extends O>)",1,1,1
