Complexity metrics,Sun, 16 Jun 2019 17:13:20 EDT
Method,ev(G),iv(G),v(G)
"org.apache.commons.collections4.BagUtilsTest.testPredicatedSortedBag()",1,1,3
"org.apache.commons.collections4.BagUtilsTest.testSynchronizedBag()",1,1,2
"org.apache.commons.collections4.BagUtilsTest.testSynchronizedSortedBag()",1,1,2
"org.apache.commons.collections4.BagUtilsTest.testTransformedBag()",1,1,3
"org.apache.commons.collections4.BagUtilsTest.testTransformedSortedBag()",1,1,3
"org.apache.commons.collections4.BagUtilsTest.testUnmodifiableBag()",1,1,2
"org.apache.commons.collections4.BagUtilsTest.testUnmodifiableSortedBag()",1,1,2
"org.apache.commons.collections4.BulkTest.BulkTest(String)",1,1,1
"org.apache.commons.collections4.BulkTest.clone()",1,1,2
"org.apache.commons.collections4.BulkTest.ignoredTests()",1,1,1
"org.apache.commons.collections4.BulkTest.makeSuite(Class<? extends BulkTest>)",3,1,3
"org.apache.commons.collections4.BulkTest.toString()",1,1,1
"org.apache.commons.collections4.BulkTestSuiteMaker.BulkTestSuiteMaker(Class<? extends BulkTest>)",1,1,1
"org.apache.commons.collections4.BulkTestSuiteMaker.addBulk(BulkTest,Method)",3,3,5
"org.apache.commons.collections4.BulkTestSuiteMaker.addTest(BulkTest,Method)",2,1,2
"org.apache.commons.collections4.BulkTestSuiteMaker.getBaseName(Class<?>)",1,2,2
"org.apache.commons.collections4.BulkTestSuiteMaker.getTestCaseConstructor(Class<T>)",1,1,2
"org.apache.commons.collections4.BulkTestSuiteMaker.isBulk(Method)",6,1,6
"org.apache.commons.collections4.BulkTestSuiteMaker.isTest(Method)",6,1,6
"org.apache.commons.collections4.BulkTestSuiteMaker.make()",1,2,2
"org.apache.commons.collections4.BulkTestSuiteMaker.make(BulkTest)",1,4,4
"org.apache.commons.collections4.BulkTestSuiteMaker.makeFirstTestCase(Class<T>)",3,3,3
"org.apache.commons.collections4.BulkTestSuiteMaker.makeTestCase(Class<T>,Method)",1,2,4
"org.apache.commons.collections4.ClosureUtils.ClosureUtils()",1,1,1
"org.apache.commons.collections4.ClosureUtils.asClosure(Transformer<? super E, ?>)",1,1,1
"org.apache.commons.collections4.ClosureUtils.chainedClosure(Closure<? super E>...)",1,1,1
"org.apache.commons.collections4.ClosureUtils.chainedClosure(Collection<? extends Closure<? super E>>)",1,1,1
"org.apache.commons.collections4.ClosureUtils.doWhileClosure(Closure<? super E>,Predicate<? super E>)",1,1,1
"org.apache.commons.collections4.ClosureUtils.exceptionClosure()",1,1,1
"org.apache.commons.collections4.ClosureUtils.forClosure(int,Closure<? super E>)",1,1,1
"org.apache.commons.collections4.ClosureUtils.ifClosure(Predicate<? super E>,Closure<? super E>)",1,1,1
"org.apache.commons.collections4.ClosureUtils.ifClosure(Predicate<? super E>,Closure<? super E>,Closure<? super E>)",1,1,1
"org.apache.commons.collections4.ClosureUtils.invokerClosure(String)",1,1,1
"org.apache.commons.collections4.ClosureUtils.invokerClosure(String,Class<?>[],Object[])",1,1,1
"org.apache.commons.collections4.ClosureUtils.nopClosure()",1,1,1
"org.apache.commons.collections4.ClosureUtils.switchClosure(Map<Predicate<E>, Closure<E>>)",1,1,1
"org.apache.commons.collections4.ClosureUtils.switchClosure(Predicate<? super E>[],Closure<? super E>[])",1,1,1
"org.apache.commons.collections4.ClosureUtils.switchClosure(Predicate<? super E>[],Closure<? super E>[],Closure<? super E>)",1,1,1
"org.apache.commons.collections4.ClosureUtils.switchMapClosure(Map<? extends E, Closure<E>>)",2,2,3
"org.apache.commons.collections4.ClosureUtils.whileClosure(Predicate<? super E>,Closure<? super E>)",1,1,1
"org.apache.commons.collections4.ClosureUtilsTest.MockClosure.execute(T)",1,1,1
"org.apache.commons.collections4.ClosureUtilsTest.MockClosure.reset()",1,1,1
